date,total_revenue,total_qty,num_items,year,volta_as_aulas,carnaval,semana_santa,sao_joao,dia_namorados,dia_maes,dia_pais,dia_criancas,black_friday,natal
2024-04-22,48537.07,167,107,2024,0,0,0,0,0,0,0,0,0,0
2024-04-23,57930.81,167,111,2024,0,0,0,0,0,0,0,0,0,0
2024-04-24,30036.010000000002,92,68,2024,0,0,0,0,0,0,0,0,0,0
2024-04-25,65571.89,123,73,2024,0,0,0,0,0,0,0,0,0,0
2024-04-26,90595.39,166,87,2024,0,0,0,0,0,0,0,0,0,0
2024-04-27,48370.82,184,127,2024,0,0,0,0,0,0,0,0,0,0
2024-04-28,175019.57,205,148,2024,0,0,0,0,0,0,0,0,0,0
2024-04-29,68167.25,145,97,2024,0,0,0,0,0,0,0,0,0,0
2024-04-30,48210.06,123,87,2024,0,0,0,0,0,0,0,0,0,0
2024-05-01,184205.04,454,312,2024,0,0,0,0,0,0,0,0,0,0
2024-05-02,34730.05,132,88,2024,0,0,0,0,0,0,0,0,0,0
2024-05-03,63751.600000000006,167,108,2024,0,0,0,0,0,0,0,0,0,0
2024-05-04,98244.41,187,109,2024,0,0,0,0,0,0,0,0,0,0
2024-05-05,67337.44,186,122,2024,0,0,0,0,0,0,0,0,0,0
2024-05-06,74510.8,116,81,2024,0,0,0,0,0,1,0,0,0,0
2024-05-07,124948.54999999999,146,92,2024,0,0,0,0,0,1,0,0,0,0
2024-05-08,39038.21,125,74,2024,0,0,0,0,0,1,0,0,0,0
2024-05-09,35304.76,100,73,2024,0,0,0,0,0,1,0,0,0,0
2024-05-10,31309.16,107,62,2024,0,0,0,0,0,1,0,0,0,0
2024-05-11,118774.59,208,136,2024,0,0,0,0,0,1,0,0,0,0
2024-05-12,54764.23,154,101,2024,0,0,0,0,0,1,0,0,0,0
2024-05-13,84117.98,127,92,2024,0,0,0,0,0,0,0,0,0,0
2024-05-14,34996.42,139,96,2024,0,0,0,0,0,0,0,0,0,0
2024-05-15,52675.29,125,76,2024,0,0,0,0,0,0,0,0,0,0
2024-05-16,12089.63,134,82,2024,0,0,0,0,0,0,0,0,0,0
2024-05-17,92204.08,98,57,2024,0,0,0,0,0,0,0,0,0,0
2024-05-18,64029.97,194,114,2024,0,0,0,0,0,0,0,0,0,0
2024-05-19,38278.51,224,119,2024,0,0,0,0,0,0,0,0,0,0
2024-05-20,10506.140000000001,75,53,2024,0,0,0,0,0,0,0,0,0,0
2024-05-21,13990.43,119,81,2024,0,0,0,0,0,0,0,0,0,0
2024-05-22,89649.56999999999,120,72,2024,0,0,0,0,0,0,0,0,0,0
2024-05-23,52608.64,129,86,2024,0,0,0,0,0,0,0,0,0,0
